Gene	Gene Systematic Name	Gene Ontology Term	Gene Ontology Term ID	Qualifier	Aspect	Method	Evidence	Source	Assigned On	Annotation Extension	Reference
RPL1B	YGL135W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002143	InterPro	2017-01-14		DDB, et al. (2001)
RPL9A	YGL147C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL9A	YGL147C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020040, IPR002359, IPR000702	InterPro	2017-01-14		DDB, et al. (2001)
RPS26A	YGL189C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-05		Planta RJ and Mager WH (1998) PMID:9559554
RPS26A	YGL189C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000892	InterPro	2017-01-14		DDB, et al. (2001)
RPS26A	YGL189C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-20		Gaudet P, et al (2010)
RPS25A	YGR027C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-17		Otaka E, et al. (1982) PMID:6814480
RPL26B	YGR034W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL26B	YGR034W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005825, IPR005756	InterPro	2017-01-14		DDB, et al. (2001)
MRPL25	YGR076C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
MRP13	YGR084C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRP13	YGR084C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RPL11B	YGR085C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL11B	YGR085C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020929, IPR002132	InterPro	2017-01-14		DDB, et al. (2001)
RPL11B	YGR085C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS23A	YGR118W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-17		Otaka E, et al. (1982) PMID:6814480
RPS23A	YGR118W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005680, IPR006032	InterPro	2017-01-14		DDB, et al. (2001)
RPL24B	YGR148C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL24B	YGR148C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
MRPS35	YGR165W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RPS0A	YGR214W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005707, IPR027498, IPR001865, IPR018130	InterPro	2017-01-14		DDB, et al. (2001)
RPS0A	YGR214W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-22		Demianova M, et al. (1996) PMID:8626693
RSM27	YGR215W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
MRPL9	YGR220C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000597, IPR019927	InterPro	2017-01-14		DDB, et al. (2001)
MRPL9	YGR220C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-11-13		Grohmann L, et al. (1991) PMID:2060626
RPL14B	YHL001W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL14B	YHL001W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002784	InterPro	2017-01-14		DDB, et al. (2001)
RPL14B	YHL001W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
MRP4	YHL004W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001865, IPR018130, IPR005706	InterPro	2017-01-14		DDB, et al. (2001)
MRP4	YHL004W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RPS20	YHL015W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic small ribosomal subunit	SGD	2008-09-29		Yeh YC, et al. (1986) PMID:3533916
RPS20	YHL015W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001848, IPR018268, IPR005729	InterPro	2017-01-14		DDB, et al. (2001)
RPS20	YHL015W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2014-07-29		Gaudet P, et al (2010)
RPL8A	YHL033C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL27A	YHR010W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL27A	YHR010W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018262, IPR001141	InterPro	2017-01-14		DDB, et al. (2001)
RPL27A	YHR010W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS27B	YHR021C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-10-20		Yeh YC, et al. (1986) PMID:3533916
RPS27B	YHR021C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000592	InterPro	2017-01-14		DDB, et al. (2001)
PPE1	YHR075C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2011-12-01		Kitakawa M, et al. (1997) PMID:9151978
RPL42B	YHR141C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL42B	YHR141C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000552	InterPro	2017-01-14		DDB, et al. (2001)
MRPL6	YHR147C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPL6	YHR147C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020040, IPR002358, IPR019906, IPR000702	InterPro	2017-01-14		DDB, et al. (2001)
MRPL6	YHR147C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
IMP3	YHR148W	structural constituent of ribosome	GO:0003735	NOT	molecular function	computational	IBA	GO_Central	2014-07-29		Gaudet P, et al (2010)
RPS4B	YHR203C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPS4B	YHR203C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000876	InterPro	2017-01-14		DDB, et al. (2001)
RPL2B	YIL018W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL2B	YIL018W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR022666, IPR022671, IPR022669, IPR002171	InterPro	2017-01-14		DDB, et al. (2001)
RPL34B	YIL052C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR008195	InterPro	2017-01-14		DDB, et al. (2001)
RPL34B	YIL052C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL34B	YIL052C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS24B	YIL069C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-05		Planta RJ and Mager WH (1998) PMID:9559554
RPS24B	YIL069C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001976, IPR012678	InterPro	2017-01-14		DDB, et al. (2001)
RSM25	YIL093C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR016939	InterPro	2017-01-14		DDB, et al. (2001)
RSM25	YIL093C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RPL16A	YIL133C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL16A	YIL133C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR023563, IPR005755, IPR005822	InterPro	2017-01-14		DDB, et al. (2001)
RPL16A	YIL133C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
RPL40A	YIL148W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001975	InterPro	2017-01-14		DDB, et al. (2001)
RPL40A	YIL148W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2015-07-08		Ben-Shem A, et al. (2011) PMID:22096102
MRPL8	YJL063C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000456	InterPro	2017-01-14		DDB, et al. (2001)
MRPL8	YJL063C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
MRPL49	YJL096W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPL49	YJL096W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RPS21B	YJL136C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-10-14		Yeh YC, et al. (1986) PMID:3533916
RPS21B	YJL136C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001931, IPR018279	InterPro	2017-01-14		DDB, et al. (2001)
RPL17B	YJL177W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL17B	YJL177W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018260, IPR005721, IPR001063	InterPro	2017-01-14		DDB, et al. (2001)
RPL39	YJL189W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL39	YJL189W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020083, IPR000077	InterPro	2017-01-14		DDB, et al. (2001)
RPL39	YJL189W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS22A	YJL190C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPS22A	YJL190C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000630	InterPro	2017-01-14		DDB, et al. (2001)
RPS14B	YJL191W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-04		Planta RJ and Mager WH (1998) PMID:9559554
RPS14B	YJL191W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001971	InterPro	2017-01-14		DDB, et al. (2001)
RPS14B	YJL191W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
RPL43B	YJR094W-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL43B	YJR094W-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002674, IPR011331	InterPro	2017-01-14		DDB, et al. (2001)
RSM26	YJR101W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RSM7	YJR113C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020606	InterPro	2017-01-14		DDB, et al. (2001)
RSM7	YJR113C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RPS5	YJR123W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-23		Otaka E, et al. (1982) PMID:6814480
RPS5	YJR123W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005716, IPR020606	InterPro	2017-01-14		DDB, et al. (2001)
RPS4A	YJR145C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPS4A	YJR145C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000876	InterPro	2017-01-14		DDB, et al. (2001)
MRP17	YKL003C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRP17	YKL003C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000529	InterPro	2017-01-14		DDB, et al. (2001)
MRP17	YKL003C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RPL14A	YKL006W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL14A	YKL006W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPL14A	YKL006W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002784	InterPro	2017-01-14		DDB, et al. (2001)
MRT4	YKL009W	structural constituent of ribosome	GO:0003735	NOT	molecular function	computational	IBA	GO_Central	2016-01-29		Gaudet P, et al (2010)
MRPL31	YKL138C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RSM22	YKL155C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RPS27A	YKL156W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-10-20		Yeh YC, et al. (1986) PMID:3533916
RPS27A	YKL156W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000592	InterPro	2017-01-14		DDB, et al. (2001)
MRP49	YKL167C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2011-02-04		Fearon K and Mason TL (1992) PMID:1544898
MRPL38	YKL170W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPL38	YKL170W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005745, IPR000218	InterPro	2017-01-14		DDB, et al. (2001)
MRPL38	YKL170W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RPL17A	YKL180W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL17A	YKL180W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018260, IPR005721, IPR001063	InterPro	2017-01-14		DDB, et al. (2001)
MRPL13	YKR006C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-11-19		Grohmann L, et al. (1991) PMID:2060626
RPS21A	YKR057W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-10-14		Yeh YC, et al. (1986) PMID:3533916
RPS21A	YKR057W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001931, IPR018279	InterPro	2017-01-14		DDB, et al. (2001)
MRPL20	YKR085C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RPL40B	YKR094C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001975	InterPro	2017-01-14		DDB, et al. (2001)
RPL40B	YKR094C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2015-07-08		Ben-Shem A, et al. (2011) PMID:22096102
RPL8B	YLL045C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RLP24	YLR009W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPL15A	YLR029C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPL15A	YLR029C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR024794, IPR000439, IPR020925, IPR012678	InterPro	2017-01-14		DDB, et al. (2001)
RPS0B	YLR048W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005707, IPR027498, IPR001865, IPR018130	InterPro	2017-01-14		DDB, et al. (2001)
RPS0B	YLR048W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-22		Demianova M, et al. (1996) PMID:8626693
RPL22A	YLR061W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPL22A	YLR061W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002671	InterPro	2017-01-14		DDB, et al. (2001)
RPL10	YLR075W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR016180, IPR001197, IPR018255	InterPro	2017-01-14		DDB, et al. (2001)
RPL10	YLR075W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL10	YLR075W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS31	YLR167W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic small ribosomal subunit	SGD	2008-12-05		Otaka E, et al. (1984) PMID:18782943
RPS31	YLR167W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic small ribosomal subunit	SGD	2008-12-05		Higo K and Otaka E (1979) PMID:385049
RPS31	YLR167W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002906	InterPro	2017-01-14		DDB, et al. (2001)
RPL37A	YLR185W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL37A	YLR185W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018267, IPR001569, IPR011331	InterPro	2017-01-14		DDB, et al. (2001)
RPL37A	YLR185W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS28B	YLR264W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-10-20		Yeh YC, et al. (1986) PMID:3533916
RPS28B	YLR264W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000289	InterPro	2017-01-14		DDB, et al. (2001)
RPS30A	YLR287C-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-05		Planta RJ and Mager WH (1998) PMID:9559554
RPS30A	YLR287C-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR006846	InterPro	2017-01-14		DDB, et al. (2001)
RPS30A	YLR287C-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
MRPL15	YLR312W-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPL15	YLR312W-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RPL38	YLR325C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002675	InterPro	2017-01-14		DDB, et al. (2001)
RPL38	YLR325C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL38	YLR325C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS25B	YLR333C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-17		Otaka E, et al. (1982) PMID:6814480
RPP0	YLR340W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-02-03		Ben-Shem A, et al. (2011) PMID:22096102
RPL26A	YLR344W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL26A	YLR344W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005825, IPR005756	InterPro	2017-01-14		DDB, et al. (2001)
RPS22B	YLR367W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPS22B	YLR367W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000630	InterPro	2017-01-14		DDB, et al. (2001)
RPS29A	YLR388W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018271, IPR001209	InterPro	2017-01-14		DDB, et al. (2001)
RPS29A	YLR388W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPS29A	YLR388W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-17		Otaka E, et al. (1982) PMID:6814480
RPL31B	YLR406C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL31B	YLR406C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000054, IPR020052	InterPro	2017-01-14		DDB, et al. (2001)
MRPL4	YLR439W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2011-02-04		Graack HR, et al. (1988) PMID:3060376
MRPL4	YLR439W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2011-02-04		Gruschke S, et al. (2010) PMID:20404317
MRPL4	YLR439W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR010729	InterPro	2017-01-14		DDB, et al. (2001)
RPS1A	YLR441C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-03		Planta RJ and Mager WH (1998) PMID:9559554
RPS1A	YLR441C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR027500, IPR001593, IPR018281	InterPro	2017-01-14		DDB, et al. (2001)
RPL6B	YLR448W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL6B	YLR448W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000915	InterPro	2017-01-14		DDB, et al. (2001)
MRPL39	YML009C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-11-19		Grohmann L, et al. (1991) PMID:2060626
MRPL39	YML009C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001705	InterPro	2017-01-14		DDB, et al. (2001)
RPS17A	YML024W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-05		Planta RJ and Mager WH (1998) PMID:9559554
RPS17A	YML024W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018273, IPR001210	InterPro	2017-01-14		DDB, et al. (2001)
YML6	YML025C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002136, IPR023574	InterPro	2017-01-14		DDB, et al. (2001)
YML6	YML025C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
RPS18B	YML026C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-05		Planta RJ and Mager WH (1998) PMID:9559554
RPS18B	YML026C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018269, IPR001892	InterPro	2017-01-14		DDB, et al. (2001)
RPS1B	YML063W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-03		Planta RJ and Mager WH (1998) PMID:9559554
RPS1B	YML063W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR027500, IPR001593, IPR018281	InterPro	2017-01-14		DDB, et al. (2001)
RPL6A	YML073C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000915	InterPro	2017-01-14		DDB, et al. (2001)
RPL6A	YML073C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
MRPL3	YMR024W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RPL15B	YMR121C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPL15B	YMR121C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR024794, IPR000439, IPR020925, IPR012678	InterPro	2017-01-14		DDB, et al. (2001)
RPL13B	YMR142C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL13B	YMR142C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018256, IPR001380	InterPro	2017-01-14		DDB, et al. (2001)
RPL13B	YMR142C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-20		Gaudet P, et al (2010)
RPS16A	YMR143W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-05		Planta RJ and Mager WH (1998) PMID:9559554
RPS16A	YMR143W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020574, IPR000754	InterPro	2017-01-14		DDB, et al. (2001)
RPS16A	YMR143W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
MRPS8	YMR158W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000630	InterPro	2017-01-14		DDB, et al. (2001)
MRPS8	YMR158W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
MRPS17	YMR188C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000266	InterPro	2017-01-14		DDB, et al. (2001)
